contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NKE240607C00090000,NKE,2024-06-04 17:18:08,2024-06-07,90.0,4.3,4.3,5.0,4.65,4.0,253.0,0.5073291455078125,94.525,calls,0.003581063210790796
NKE240607C00091000,NKE,2024-06-04 13:45:37,2024-06-07,91.0,3.6,3.55,4.15,3.85,21.0,29.0,0.485356708984375,94.525,calls,0.003581063210790796
NKE240607C00092000,NKE,2024-06-04 18:54:27,2024-06-07,92.0,2.85,2.6,2.94,2.77,12.0,1158.0,0.33447931152343746,94.525,calls,0.003581063210790796
NKE240607C00093000,NKE,2024-06-04 18:37:12,2024-06-07,93.0,2.18,1.93,2.03,1.98,177.0,1274.0,0.28076891113281244,94.525,calls,0.003581063210790796
NKE240607C00094000,NKE,2024-06-04 18:58:12,2024-06-07,94.0,1.38,1.23,1.29,1.26,1307.0,2069.0,0.25489026367187506,94.525,calls,0.003581063210790796
NKE240607C00095000,NKE,2024-06-04 18:49:47,2024-06-07,95.0,0.85,0.76,0.79,0.775,2392.0,3320.0,0.25440198730468755,94.525,calls,0.003581063210790796
NKE240607C00096000,NKE,2024-06-04 19:03:21,2024-06-07,96.0,0.43,0.43,0.47,0.44999999999999996,1152.0,2167.0,0.26270268554687504,94.525,calls,0.003581063210790796
NKE240607C00097000,NKE,2024-06-04 19:02:05,2024-06-07,97.0,0.28,0.24,0.26,0.25,1020.0,1103.0,0.26758544921875,94.525,calls,0.003581063210790796
NKE240607C00098000,NKE,2024-06-04 18:59:38,2024-06-07,98.0,0.15,0.13,0.16,0.14500000000000002,205.0,750.0,0.28613995117187496,94.525,calls,0.003581063210790796
NKE240607C00099000,NKE,2024-06-04 18:55:47,2024-06-07,99.0,0.11,0.08,0.1,0.09,67.0,442.0,0.30371790039062496,94.525,calls,0.003581063210790796
NKE240607C00100000,NKE,2024-06-04 17:13:11,2024-06-07,100.0,0.06,0.05,0.07,0.060000000000000005,89.0,1260.0,0.32813171874999997,94.525,calls,0.003581063210790796
